,교과구분,개설대학,개설학과,학년,교과목 번호,강좌번호,교과목명(부제명),학점-강의-실습,수업교시-수업형태-강의실(동-호),담당교수,강의계획서,정원,수강신청인원,비고
2401,전선,융합과학기술대학원,응용바이오공학과,0학년,M2178.001600,001,융합과학기술 실험연구 방법론,1-1-0,"['화(16:00~16:50)', '이론', ' ']",예성준 (대표교수),,30 (30),11,광교 D-111호
2402,전선,농업생명과학대학,바이오시스템공학과(융합전공 글로벌 스마트팜 ),1학년,M2179.004400,001,스마트팜 비즈니스,3-3-0,"['화(17:00~19:50)', '이론', '200-1012(무선랜제공)']",유도일 (대표교수),Y,50 (50),22,
2403,전선,농업생명과학대학,바이오시스템공학과(융합전공 글로벌 스마트팜 ),1학년,M2179.004500,001,스마트팜 캡스톤 디자인 프로젝트,3-3-0,"['목(10:00~12:50)', '이론', '200-1012(무선랜제공)']",박상배 (대표교수),Y,50 (50),29,
2404,전선,농업생명과학대학,식물생산과학부(원예생명공학전공),4학년,M2179.007000,001,종묘생산학 및 실험,3-2-2,"['수(14:00~15:50)', '이론', '200-1012(무선랜제공)', '수(16:00~17:50)', '실습', '200-1012(무선랜제공)']",노형민 (대표교수),Y,40 (40),12,ⓔ
2405,전선,수의과대학,,1학년,M2180.000200,001,가금임상수의학 특강(산업동물 백신설계 및 생산),3-3-0,"['화(09:00~11:50)', '이론', ' ']",권혁준 (대표교수),,30 (30),4,
2406,전선,수의과대학,,1학년,M2180.000300,001,젖소 생산수의학(젖소의 송아지 질병 및 사양관리),3-3-0,"['목(15:00~17:50)', '이론', ' ']",김단일 (대표교수),Y,30 (30),5,
2407,전선,수의과대학,,,M2180.000900,001,고급 수의 응급의학(특수목적견 응급환자의 분류 및 치료),3-3-0,"['화(18:00~20:50)', '이론', '85-208(무선랜제공)']",김민수 (대표교수),Y,30 (30),16,
2408,전선,수의과대학,,,M2180.001500,001,고급 바이러스 질병학(고급 바이러스질병학 사례 연구),3-3-0,"['목(13:00~15:50)', '이론', '85-307(무선랜제공)']",송대섭 (대표교수),,15 (15),8,ⓔ
2409,전선,수의과대학,수의학과,,M2180.001600,001,수의독성학특론(독성작용기전),3-3-0,"['수(18:00~20:50)', '이론', ' ']",윤준원 (대표교수),Y,15 (15),6,
2410,전선,수의과대학,,1학년,M2180.001800,001,수생생물과 환경(항아리곰팡이 질병),3-2-2,"['목(13:00~15:50)', '이론', '81-412']",박세창 (대표교수),,30 (30),5,
2411,전선,수의과대학,,1학년,M2180.002100,001,수의법의학개론,1-1-0,"['수(14:00~14:50)', '이론', '85-208(무선랜제공)']",김용백 (대표교수),Y,60 (60),19,
2412,전필,수의과대학,,1학년,M2180.002300,001,수의생명의학 1 (생물학개론),3-3-0,"['월(13:30~14:20)', '이론', ' ', '수(13:30~14:20)', '이론', ' ']",AHN G ONE (대표교수),Y,60 (60),49,
2413,전필,수의과대학,,2학년,M2180.002500,001,수의생명의학 3 (수의분자세포생물학),3-3-0,"['화(11:00~11:50)', '이론', ' ', '수(11:00~12:50)', '이론', ' ']",Baek Seung Joon (대표교수),Y,60 (60),46,
2414,전필,수의과대학,,1학년,M2180.002800,001,수의전문직업성 1 (수의역사와 직업정체성),2-2-0,"['금(10:00~11:50)', '이론', ' ']",천명선 (대표교수),Y,60 (60),49,
2415,전필,수의과대학,,2학년,M2180.003000,001,수의전문직업성 3 (인간동물관계와 원헬스),1-1-0,"['금(14:00~14:50)', '이론', ' ']",천명선 (대표교수),Y,60 (60),46,
2416,전선,수의과대학,,3학년,M2180.003500,001,3D 동영상으로 보는 소동물 골절 교정 기법,1-1-0,"['수(18:00~18:50)', '이론', '85-207']",강병재 (대표교수),Y,20 (20),10,
2417,전선,수의과대학,,2학년,M2180.003800,001,수의통증의학,1-1-0,"['수(13:00~13:50)', '이론', '85-209']",손원균 (대표교수),Y,50 (50),24,
2418,전선,수의과대학,,1학년,M2180.004100,001,고급수의마취학(비교 마취통증의학),3-3-0,"['화(18:00~20:50)', '이론', ' ']",손원균 (대표교수),Y,30 (30),19,
2419,전선,수의과대학,,1학년,M2180.004200,001,수의해부학특강(근골격계통의 비교해부학),3-3-0,"['수(16:00~18:50)', '이론', '85-506']",유대영 (대표교수),Y,30 (30),6,
2420,전선,수의과대학,,1학년,M2180.004600,001,인수공통기생충학,3-3-0,"['목(13:00~15:50)', '이론', ' ']",유원기 (대표교수),Y,10 (10),5,
2421,전선,수의과대학,,1학년,M2180.004800,001,수의대생을 위한 혁신과 기업가 정신 1,1-1-0,"['수(15:00~15:50)', '이론', '85-209']",Lee Younghee (대표교수),Y,80 (80),24,
2422,전선,수의과대학,,1학년,M2180.005000,001,실험동물 종양학,3-3-0,"['월(14:00~16:50)', '이론', '85-725(무선랜제공)']",박준원 (대표교수),Y,30 (30),10,
2423,전선,수의과대학,,1학년,M2180.005100,001,설치류 실험동물 질병학,3-3-0,"['화(14:00~16:50)', '이론', '85-714(무선랜제공)']",박준원 (대표교수),Y,30 (30),15,
2424,전선,수의과대학,,1학년,M2180.005200,001,열대수의학(열대수의학 데이터베이스 개론),3-3-0,"['수(13:00~15:50)', '이론', ' ']",유원기 (대표교수),Y,10 (10),5,
2425,전선,미술대학,미술학과(조소전공),0학년,M2182.000300,001,기획과 제안,3-3-0,"['월(10:00~12:50)', '이론', '83-603(무선랜제공)']",이은주 (대표교수),Y,8 (8),8,
2426,전선,미술대학,디자인과,1학년,M2182.000500,001,기초시각디자인,2-1-2,"['수(10:00~10:50)', '이론', '49-109', '수(11:00~12:50)', '실습', '49-109']",이은영 (대표교수),Y,30 (30),23,"®1) 재학생 수강신청 기간에는 미술대학 1학년, 자유전공학부 학생 중 미술대학 진입생만 신청 가능 / 2) 신입생 수강신청 기간에는 미술대학 1학년만 신청 가능 / 3) 수강신청변경기간에는 미술대학 재학생, 미술대학 제2 전공(복수전공, 부전공)생만 신청 가능"
2427,전선,미술대학,서양화과,1학년,M2182.000700,001,평면조형3,2-1-2,"['금(10:00~10:50)', '이론', '50-301', '금(11:00~12:50)', '실습', '50-308']",최수연 (대표교수),Y,24 (24),26,"®""1) 재학생 수강신청 기간에는 미술대학 1학년, 자유전공학부 학생 중 미술대학 진입생만 신청 가능2) 신입생 수강신청 기간에는 미술대학 1학년만 신청 가능3) 수강신청변경기간에는 미술대학 재학생, 미술대학 제2 전공(복수전공, 부전공)생만 신청 가능"
2428,전선,미술대학,서양화과,1학년,M2182.000800,001,평면조형4,2-1-2,"['금(14:00~14:50)', '이론', '50-301', '금(15:00~16:50)', '실습', '50-308']",노경희 (대표교수),Y,24 (24),27,"®""1) 재학생 수강신청 기간에는 미술대학 1학년, 자유전공학부 학생 중 미술대학 진입생만 신청 가능2) 신입생 수강신청 기간에는 미술대학 1학년만 신청 가능3) 수강신청변경기간에는 미술대학 재학생, 미술대학 제2 전공(복수전공, 부전공)생만 신청 가능"
